QuSpin		
Mag#1:   Z2.0-00KW	29.04.2022	13:56:32
Time [s]	Magnetic Field [pT]	Magnetic Field (filtered) [pT]
1.120	-16.080	-17.273
1.125	-17.490	-17.611
1.130	-18.820	-17.593
1.135	-17.740	-17.629
1.140	-16.250	-17.492
1.145	-17.040	-17.182
1.150	-18.300	-17.088
1.155	-17.290	-17.158
1.160	-16.110	-17.306
1.165	-17.320	-17.420
1.170	-18.500	-17.303
1.175	-17.560	-17.465
1.180	-16.530	-17.693
1.185	-17.690	-17.749
1.190	-18.990	-17.816
1.195	-17.690	-17.652
1.200	-16.400	-17.594
1.205	-17.670	-17.692
1.210	-18.750	-17.557
1.215	-17.740	-17.727
1.220	-16.370	-17.564
1.225	-17.400	-17.428
1.230	-18.950	-17.739
1.235	-17.800	-17.752
1.240	-16.620	-17.826
1.245	-17.420	-17.485
1.250	-18.960	-17.758
1.255	-17.740	-17.663
1.260	-16.570	-17.772
1.265	-17.130	-17.242
1.270	-18.780	-17.593
1.275	-17.430	-17.312
1.280	-16.210	-17.414
1.285	-17.020	-17.153
1.290	-18.750	-17.534
1.295	-17.650	-17.485
1.300	-16.450	-17.657
1.305	-17.660	-17.799
1.310	-19.070	-17.844
1.315	-18.020	-17.873
1.320	-16.540	-17.775
1.325	-17.420	-17.595
1.330	-18.730	-17.515
1.335	-17.500	-17.344
1.340	-16.220	-17.443
1.345	-17.500	-17.631
1.350	-18.590	-17.372
1.355	-17.770	-17.638
1.360	-16.650	-17.827
1.365	-18.240	-18.309
1.370	-19.310	-18.109
1.375	-17.750	-17.739
1.380	-16.890	-18.093
1.385	-17.750	-17.750
1.390	-18.860	-17.694
1.395	-17.720	-17.732
1.400	-16.900	-18.032
1.405	-17.820	-17.793
1.410	-18.740	-17.650
1.415	-17.740	-17.779
1.420	-16.720	-17.789
1.425	-18.200	-18.118
1.430	-19.180	-18.093
1.435	-17.600	-17.731
1.440	-16.610	-17.724
1.445	-18.050	-17.888
1.450	-18.950	-17.830
1.455	-17.670	-17.853
1.460	-16.680	-17.799
1.465	-18.130	-17.922
1.470	-18.900	-17.786
1.475	-17.850	-18.063
1.480	-16.950	-18.037
1.485	-18.450	-18.206
1.490	-19.050	-17.974
1.495	-18.030	-18.285
1.500	-16.720	-17.806
1.505	-17.750	-17.546
1.510	-18.590	-17.534
1.515	-17.570	-17.766
1.520	-16.150	-17.228
1.525	-17.770	-17.581
1.530	-18.890	-17.767
1.535	-17.700	-17.871
1.540	-17.090	-18.175
1.545	-18.700	-18.467
1.550	-19.370	-18.278
1.555	-17.940	-18.208
1.560	-16.930	-18.041
1.565	-18.130	-17.879
1.570	-18.690	-17.619
1.575	-17.240	-17.534
1.580	-16.090	-17.196
1.585	-17.980	-17.661
1.590	-18.980	-17.817
1.595	-17.650	-17.956
1.600	-17.250	-18.367
1.605	-18.420	-18.089
1.610	-19.570	-18.446
1.615	-17.820	-18.158
1.620	-17.010	-18.161
1.625	-18.040	-17.730
1.630	-19.150	-18.010
1.635	-17.470	-17.785
1.640	-16.440	-17.618
1.645	-18.070	-17.750
1.650	-18.970	-17.773
1.655	-17.810	-18.106
1.660	-17.200	-18.349
1.665	-18.440	-18.136
1.670	-19.350	-18.212
1.675	-17.970	-18.268
1.680	-17.080	-18.218
1.685	-17.850	-17.608
1.690	-18.690	-17.609
1.695	-17.300	-17.547
1.700	-16.480	-17.561
1.705	-18.090	-17.818
1.710	-19.270	-18.139
1.715	-17.900	-18.144
1.720	-16.800	-17.949
1.725	-18.430	-18.182
1.730	-19.000	-17.858
1.735	-17.250	-17.556
1.740	-16.610	-17.762
1.745	-17.690	-17.394
1.750	-18.420	-17.308
1.755	-16.790	-17.116
1.760	-16.470	-17.557
1.765	-17.940	-17.567
1.770	-19.020	-17.904
1.775	-17.430	-17.792
1.780	-17.000	-18.097
1.785	-18.380	-17.992
1.790	-19.460	-18.343
1.795	-17.490	-17.896
1.800	-16.800	-17.953
1.805	-18.010	-17.619
1.810	-18.990	-17.844
1.815	-17.460	-17.838
1.820	-16.390	-17.563
1.825	-18.090	-17.717
1.830	-18.870	-17.682
1.835	-17.400	-17.773
1.840	-17.080	-18.223
1.845	-18.340	-17.946
1.850	-19.290	-18.153
1.855	-17.490	-17.895
1.860	-16.750	-17.910
1.865	-18.500	-18.072
1.870	-18.720	-17.588
1.875	-17.630	-18.066
1.880	-16.870	-17.966
1.885	-18.450	-18.011
1.890	-19.370	-18.251
1.895	-17.740	-18.172
1.900	-16.960	-18.093
1.905	-19.010	-18.538
1.910	-19.230	-18.097
1.915	-17.860	-18.358
1.920	-17.100	-18.221
1.925	-18.450	-17.977
1.930	-19.170	-18.064
1.935	-17.450	-17.935
1.940	-16.910	-18.018
1.945	-18.740	-18.221
1.950	-19.420	-18.289
1.955	-17.370	-17.927
1.960	-17.320	-18.438
1.965	-19.110	-18.489
1.970	-19.620	-18.498
1.975	-17.890	-18.525
1.980	-17.570	-18.675
1.985	-18.890	-18.263
1.990	-19.410	-18.338
1.995	-17.710	-18.344
2.000	-17.390	-18.447
2.005	-19.140	-18.479
2.010	-19.430	-18.384
2.015	-17.630	-18.320
2.020	-17.340	-18.381
2.025	-19.320	-18.588
2.030	-19.580	-18.531
2.035	-17.890	-18.636
2.040	-17.240	-18.305
2.045	-18.630	-17.932
2.050	-19.120	-18.079
2.055	-17.480	-18.169
2.060	-16.840	-17.894
2.065	-18.460	-17.795
2.070	-19.300	-18.219
2.075	-17.940	-18.543
2.080	-17.360	-18.421
2.085	-18.910	-18.326
2.090	-19.620	-18.549
2.095	-17.590	-18.187
2.100	-17.180	-18.275
2.105	-18.540	-17.963
2.110	-18.950	-17.890
2.115	-17.190	-17.783
2.120	-17.200	-18.227
2.125	-18.610	-17.996
2.130	-19.180	-18.164
2.135	-17.820	-18.399
2.140	-17.560	-18.536
2.145	-19.150	-18.557
2.150	-19.400	-18.441
2.155	-17.900	-18.499
2.160	-17.350	-18.312
2.165	-19.050	-18.455
2.170	-18.920	-17.995
2.175	-17.390	-18.026
2.180	-17.110	-18.022
2.185	-18.760	-18.112
2.190	-19.320	-18.385
2.195	-17.950	-18.561
2.200	-17.560	-18.478
2.205	-19.240	-18.622
2.210	-19.470	-18.553
2.215	-17.440	-18.107
2.220	-17.420	-18.348
2.225	-19.170	-18.464
2.230	-19.430	-18.495
2.235	-17.590	-18.318
2.240	-17.150	-18.115
2.245	-18.790	-18.075
2.250	-19.650	-18.638
2.255	-17.510	-18.219
2.260	-17.660	-18.671
2.265	-19.340	-18.590
2.270	-19.770	-18.750
2.275	-18.440	-19.148
2.280	-17.690	-18.715
2.285	-19.350	-18.680
2.290	-19.320	-18.328
2.295	-17.790	-18.480
2.300	-17.410	-18.395
2.305	-19.350	-18.642
2.310	-19.390	-18.405
2.315	-17.750	-18.477
2.320	-17.990	-18.926
2.325	-19.620	-18.852
2.330	-19.810	-18.883
2.335	-17.830	-18.627
2.340	-17.760	-18.699
2.345	-19.660	-18.833
2.350	-19.430	-18.513
2.355	-17.820	-18.674
2.360	-17.840	-18.732
2.365	-19.390	-18.536
2.370	-19.510	-18.634
2.375	-18.150	-18.975
2.380	-18.130	-18.967
2.385	-19.850	-19.013
2.390	-20.370	-19.495
2.395	-17.880	-18.751
2.400	-17.770	-18.712
2.405	-19.620	-18.739
2.410	-19.390	-18.471
2.415	-17.700	-18.604
2.420	-17.660	-18.568
2.425	-19.420	-18.512
2.430	-19.730	-18.803
2.435	-18.200	-19.067
2.440	-18.450	-19.327
2.445	-19.920	-19.048
2.450	-20.100	-19.236
2.455	-17.970	-18.866
2.460	-17.920	-18.817
2.465	-19.620	-18.729
2.470	-19.850	-18.944
2.475	-17.990	-18.875
2.480	-18.100	-19.000
2.485	-19.750	-18.861
2.490	-19.570	-18.700
2.495	-18.140	-19.020
2.500	-18.140	-18.979
2.505	-19.850	-18.970
2.510	-20.100	-19.243
2.515	-18.250	-19.120
2.520	-18.070	-18.950
2.525	-19.770	-18.916
2.530	-19.650	-18.787
2.535	-17.850	-18.723
2.540	-18.090	-18.936
2.545	-19.860	-18.962
2.550	-20.040	-19.177
2.555	-18.500	-19.366
2.560	-18.620	-19.455
2.565	-20.720	-19.811
2.570	-19.680	-18.901
2.575	-18.500	-19.447
2.580	-18.350	-19.101
2.585	-20.130	-19.198
2.590	-19.660	-18.935
2.595	-18.080	-19.033
2.600	-18.550	-19.235
2.605	-20.360	-19.368
2.610	-20.110	-19.422
2.615	-18.540	-19.527
2.620	-18.650	-19.333
2.625	-20.500	-19.506
2.630	-20.260	-19.568
2.635	-18.530	-19.530
2.640	-18.810	-19.498
2.645	-20.430	-19.431
2.650	-20.100	-19.428
2.655	-18.210	-19.235
2.660	-18.670	-19.340
2.665	-20.370	-19.327
2.670	-20.380	-19.688
2.675	-18.890	-19.890
2.680	-18.820	-19.521
2.685	-20.700	-19.711
2.690	-20.300	-19.598
2.695	-18.340	-19.365
2.700	-18.880	-19.579
2.705	-20.370	-19.341
2.710	-19.700	-19.055
2.715	-17.890	-18.961
2.720	-18.630	-19.248
2.725	-20.500	-19.380
2.730	-19.850	-19.243
2.735	-18.470	-19.584
2.740	-18.790	-19.374
2.745	-20.520	-19.411
2.750	-20.390	-19.780
2.755	-18.650	-19.738
2.760	-18.720	-19.361
2.765	-19.890	-18.875
2.770	-19.710	-19.099
2.775	-18.320	-19.296
2.780	-18.420	-19.030
2.785	-20.580	-19.580
2.790	-20.360	-19.695
2.795	-18.890	-19.863
2.800	-19.410	-20.042
2.805	-21.000	-20.016
2.810	-20.640	-20.015
2.815	-18.680	-19.693
2.820	-18.930	-19.590
2.825	-20.240	-19.266
2.830	-19.920	-19.289
2.835	-18.440	-19.399
2.840	-19.100	-19.690
2.845	-20.550	-19.578
2.850	-20.090	-19.522
2.855	-18.610	-19.580
2.860	-19.110	-19.658
2.865	-20.720	-19.738
2.870	-20.330	-19.780
2.875	-18.700	-19.686
2.880	-19.150	-19.699
2.885	-20.570	-19.593
2.890	-20.150	-19.616
2.895	-18.270	-19.275
2.900	-19.070	-19.598
2.905	-20.880	-19.823
2.910	-20.170	-19.646
2.915	-19.030	-20.070
2.920	-19.240	-19.747
2.925	-21.040	-20.003
2.930	-20.180	-19.687
2.935	-18.580	-19.653
2.940	-19.010	-19.511
2.945	-20.730	-19.651
2.950	-19.870	-19.388
2.955	-18.560	-19.645
2.960	-19.160	-19.613
2.965	-20.950	-19.841
2.970	-20.470	-19.992
2.975	-18.890	-19.993
2.980	-19.390	-19.872
2.985	-21.170	-20.055
2.990	-20.590	-20.094
2.995	-18.770	-19.905
3.000	-18.930	-19.479
3.005	-20.350	-19.266
3.010	-19.690	-19.169
3.015	-18.320	-19.395
3.020	-18.890	-19.388
3.025	-20.750	-19.650
3.030	-20.190	-19.669
3.035	-18.650	-19.745
3.040	-19.420	-19.916
3.045	-21.190	-20.062
3.050	-20.150	-19.679
3.055	-18.840	-19.981
3.060	-19.320	-19.776
3.065	-20.490	-19.397
3.070	-19.510	-19.121
3.075	-18.000	-19.120
3.080	-18.880	-19.246
3.085	-20.510	-19.363
3.090	-20.460	-20.033
3.095	-18.790	-19.893
3.100	-19.520	-19.949
3.105	-21.330	-20.197
3.110	-20.320	-19.901
3.115	-18.670	-19.840
3.120	-19.250	-19.683
3.125	-21.270	-20.072
3.130	-20.180	-19.745
3.135	-18.820	-20.031
3.140	-19.690	-20.089
3.145	-21.270	-20.049
3.150	-20.140	-19.776
3.155	-18.670	-19.913
3.160	-20.030	-20.333
3.165	-21.490	-20.209
3.170	-20.380	-20.111
3.175	-19.130	-20.405
3.180	-19.700	-19.968
3.185	-20.800	-19.590
3.190	-19.960	-19.728
3.195	-18.520	-19.722
3.200	-19.310	-19.543
3.205	-20.770	-19.578
3.210	-19.940	-19.706
3.215	-18.850	-20.005
3.220	-19.760	-19.958
3.225	-21.400	-20.226
3.230	-19.890	-19.729
3.235	-18.920	-20.106
3.240	-19.440	-19.597
3.245	-20.840	-19.691
3.250	-20.210	-20.029
3.255	-18.590	-19.734
3.260	-19.520	-19.718
3.265	-20.990	-19.839
3.270	-20.450	-20.216
3.275	-18.770	-19.913
3.280	-19.990	-20.218
3.285	-21.640	-20.449
3.290	-19.850	-19.678
3.295	-18.990	-20.206
3.300	-19.870	-20.002
3.305	-21.060	-19.871
3.310	-19.920	-19.818
3.315	-18.860	-20.036
3.320	-19.550	-19.653
3.325	-21.240	-20.061
3.330	-20.290	-20.153
3.335	-18.990	-20.160
3.340	-19.850	-19.993
3.345	-21.540	-20.352
3.350	-20.620	-20.443
3.355	-19.090	-20.285
3.360	-19.970	-20.168
3.365	-21.140	-19.972
3.370	-20.020	-19.853
3.375	-18.670	-19.849
3.380	-19.820	-19.972
3.385	-21.240	-20.043
3.390	-20.390	-20.221
3.395	-19.030	-20.213
3.400	-20.480	-20.610
3.405	-21.850	-20.628
3.410	-20.970	-20.827
3.415	-19.060	-20.315
3.420	-19.900	-20.106
3.425	-21.240	-20.007
3.430	-19.750	-19.591
3.435	-18.920	-20.144
3.440	-19.820	-19.943
3.445	-21.430	-20.198
3.450	-20.190	-20.062
3.455	-18.980	-20.214
3.460	-20.000	-20.118
3.465	-21.770	-20.506
3.470	-20.310	-20.191
3.475	-19.050	-20.335
3.480	-20.340	-20.432
3.485	-21.340	-20.072
3.490	-20.190	-20.133
3.495	-19.040	-20.292
3.500	-20.090	-20.138
3.505	-21.420	-20.176
3.510	-20.320	-20.269
3.515	-19.510	-20.707
3.520	-20.440	-20.465
3.525	-21.740	-20.559
3.530	-20.380	-20.374
3.535	-18.990	-20.201
3.540	-20.050	-20.074
3.545	-21.300	-20.099
3.550	-20.050	-20.037
3.555	-18.800	-20.008
3.560	-20.170	-20.163
3.565	-21.300	-20.085
3.570	-20.350	-20.349
3.575	-19.570	-20.725
3.580	-20.750	-20.709
3.585	-21.420	-20.309
3.590	-20.430	-20.501
3.595	-19.030	-20.148
3.600	-20.290	-20.232
3.605	-21.200	-20.094
3.610	-19.950	-20.036
3.615	-19.150	-20.235
3.620	-20.260	-20.151
3.625	-21.720	-20.609
3.630	-20.390	-20.481
3.635	-19.100	-20.240
3.640	-20.440	-20.351
3.645	-21.570	-20.416
3.650	-20.550	-20.623
3.655	-19.320	-20.468
3.660	-20.420	-20.365
3.665	-21.290	-20.172
3.670	-20.320	-20.379
3.675	-19.130	-20.238
3.680	-20.720	-20.633
3.685	-22.020	-20.859
3.690	-20.470	-20.570
3.695	-19.900	-21.044
3.700	-21.200	-21.048
3.705	-22.130	-20.992
3.710	-20.730	-20.906
3.715	-19.420	-20.594
3.720	-20.850	-20.683
3.725	-21.490	-20.339
3.730	-20.370	-20.559
3.735	-19.370	-20.505
3.740	-20.890	-20.678
3.745	-22.120	-20.945
3.750	-20.740	-20.940
3.755	-19.800	-20.974
3.760	-21.170	-20.958
3.765	-22.060	-20.892
3.770	-20.630	-20.861
3.775	-19.320	-20.523
3.780	-20.840	-20.620
3.785	-21.600	-20.404
3.790	-20.400	-20.628
3.795	-19.080	-20.289
3.800	-20.710	-20.486
3.805	-21.600	-20.379
3.810	-20.240	-20.473
3.815	-19.400	-20.605
3.820	-20.740	-20.496
3.825	-21.640	-20.447
3.830	-19.720	-20.017
3.835	-19.200	-20.399
3.840	-20.540	-20.213
3.845	-21.450	-20.262
3.850	-19.850	-20.193
3.855	-18.900	-20.103
3.860	-20.190	-19.864
3.865	-21.340	-20.132
3.870	-20.140	-20.425
3.875	-19.490	-20.652
3.880	-20.920	-20.611
3.885	-21.690	-20.540
3.890	-20.120	-20.452
3.895	-19.170	-20.336
3.900	-20.400	-20.092
3.905	-20.850	-19.741
3.910	-19.630	-19.957
3.915	-18.850	-19.935
3.920	-20.530	-20.175
3.925	-21.300	-20.198
3.930	-19.930	-20.285
3.935	-19.210	-20.298
3.940	-20.510	-20.159
3.945	-21.380	-20.298
3.950	-19.450	-19.839
3.955	-18.920	-20.021
3.960	-20.140	-19.749
3.965	-20.720	-19.657
3.970	-19.490	-19.878
3.975	-18.910	-19.940
3.980	-20.800	-20.359
3.985	-21.070	-20.040
3.990	-19.980	-20.427
3.995	-18.940	-19.969
4.000	-20.710	-20.266
4.005	-21.350	-20.298
4.010	-19.780	-20.237
4.015	-19.070	-20.132
4.020	-20.290	-19.858
4.025	-20.920	-19.885
4.030	-19.300	-19.750
4.035	-19.070	-20.081
4.040	-20.470	-19.989
4.045	-21.350	-20.324
4.050	-19.850	-20.311
4.055	-19.250	-20.276
4.060	-21.010	-20.521
4.065	-21.370	-20.343
4.070	-19.740	-20.262
4.075	-19.150	-20.187
4.080	-20.710	-20.184
4.085	-21.120	-20.095
4.090	-19.390	-19.949
4.095	-19.190	-20.201
4.100	-20.590	-20.012
4.105	-21.680	-20.633
4.110	-20.260	-20.780
4.115	-19.450	-20.507
4.120	-20.740	-20.261
4.125	-21.540	-20.485
4.130	-19.590	-20.088
4.135	-19.220	-20.292
4.140	-20.770	-20.252
4.145	-21.240	-20.178
4.150	-19.200	-19.768
4.155	-18.990	-20.063
4.160	-20.480	-19.891
4.165	-21.490	-20.386
4.170	-19.810	-20.366
4.175	-19.320	-20.424
4.180	-21.250	-20.660
4.185	-21.790	-20.661
4.190	-19.850	-20.467
4.195	-19.140	-20.307
4.200	-20.940	-20.325
4.205	-21.100	-19.957
4.210	-19.740	-20.361
4.215	-19.260	-20.369
4.220	-20.450	-19.866
4.225	-21.790	-20.652
4.230	-20.300	-20.802
4.235	-19.960	-21.064
4.240	-21.420	-20.910
4.245	-21.800	-20.727
4.250	-19.940	-20.488
4.255	-19.360	-20.456
4.260	-21.140	-20.581
4.265	-21.170	-20.106
4.270	-19.890	-20.463
4.275	-19.180	-20.230
4.280	-21.110	-20.527
4.285	-21.730	-20.645
4.290	-20.310	-20.866
4.295	-19.910	-20.965
4.300	-21.340	-20.790
4.305	-21.760	-20.729
4.310	-19.870	-20.452
4.315	-19.840	-20.855
4.320	-21.160	-20.563
4.325	-21.130	-20.183
4.330	-19.560	-20.195
4.335	-19.000	-19.957
4.340	-21.070	-20.407
4.345	-21.380	-20.392
4.350	-19.670	-20.347
4.355	-19.630	-20.594
4.360	-21.150	-20.453
4.365	-21.600	-20.639
4.370	-19.700	-20.411
4.375	-19.410	-20.387
4.380	-20.980	-20.271
4.385	-20.890	-19.957
4.390	-19.170	-19.921
4.395	-19.250	-20.156
4.400	-20.820	-20.045
4.405	-21.300	-20.383
4.410	-20.160	-20.872
4.415	-19.610	-20.507
4.420	-21.410	-20.707
4.425	-21.500	-20.603
4.430	-19.770	-20.498
4.435	-19.510	-20.416
4.440	-20.720	-20.028
4.445	-21.070	-20.191
4.450	-19.100	-19.815
4.455	-19.370	-20.236
4.460	-20.940	-20.185
4.465	-21.620	-20.718
4.470	-19.600	-20.348
4.475	-19.730	-20.634
4.480	-21.360	-20.583
4.485	-21.730	-20.813
4.490	-19.570	-20.375
4.495	-19.570	-20.512
4.500	-20.990	-20.192
4.505	-20.920	-20.024
4.510	-19.370	-20.178
4.515	-19.270	-20.150
4.520	-21.340	-20.493
4.525	-21.610	-20.686
4.530	-19.910	-20.745
4.535	-19.680	-20.610
4.540	-21.620	-20.773
4.545	-21.420	-20.501
4.550	-19.720	-20.593
4.555	-19.390	-20.324
4.560	-21.000	-20.156
4.565	-20.810	-19.914
4.570	-19.140	-20.006
4.575	-19.190	-20.068
4.580	-20.940	-20.060
4.585	-21.110	-20.222
4.590	-19.680	-20.526
4.595	-20.070	-20.892
4.600	-21.460	-20.602
4.605	-21.750	-20.933
4.610	-19.810	-20.669
4.615	-19.640	-20.490
4.620	-20.840	-20.035
4.625	-21.090	-20.266
4.630	-19.400	-20.191
4.635	-19.660	-20.460
4.640	-21.280	-20.464
4.645	-21.370	-20.568
4.650	-19.970	-20.760
4.655	-19.850	-20.638
4.660	-21.550	-20.760
4.665	-21.380	-20.603
4.670	-19.640	-20.457
4.675	-19.540	-20.334
4.680	-20.840	-20.058
4.685	-20.900	-20.131
4.690	-19.290	-20.069
4.695	-19.620	-20.360
4.700	-21.360	-20.539
4.705	-21.220	-20.478
4.710	-19.540	-20.378
4.715	-20.150	-20.849
4.720	-21.420	-20.561
4.725	-21.050	-20.404
4.730	-19.500	-20.380
4.735	-19.370	-20.035
4.740	-20.900	-20.044
4.745	-20.760	-20.101
4.750	-18.990	-19.866
4.755	-19.590	-20.226
4.760	-21.420	-20.482
4.765	-20.970	-20.336
4.770	-19.730	-20.661
4.775	-19.990	-20.589
4.780	-21.440	-20.514
4.785	-21.270	-20.677
4.790	-19.340	-20.294
4.795	-19.250	-19.902
4.800	-20.820	-19.894
4.805	-20.440	-19.804
4.810	-18.830	-19.773
4.815	-19.380	-19.991
4.820	-21.240	-20.246
4.825	-21.010	-20.372
4.830	-19.860	-20.812
4.835	-20.120	-20.719
4.840	-21.410	-20.483
4.845	-21.020	-20.454
4.850	-18.960	-19.941
4.855	-18.970	-19.604
4.860	-20.340	-19.401
4.865	-20.150	-19.527
4.870	-18.840	-19.750
4.875	-19.270	-19.857
4.880	-20.990	-20.051
4.885	-20.840	-20.226
4.890	-19.140	-20.079
4.895	-19.370	-20.001
4.900	-21.340	-20.371
4.905	-20.590	-19.965
4.910	-18.870	-19.889
4.915	-19.160	-19.797
4.920	-20.500	-19.507
4.925	-20.470	-19.831
4.930	-18.630	-19.619
4.935	-18.960	-19.617
4.940	-21.060	-20.028
4.945	-20.750	-20.052
